	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000070371	108.12667	-1.263809763	0.415392611	-3.042446422	0.002346636	0.010423278
ENSDARG00000078772	125.080963	-1.671831902	0.381249193	-4.385142142	1.16E-05	0.000101029
ENSDARG00000019038	137.1857949	-0.99113829	0.366058157	-2.707597878	0.006777208	0.025077142
ENSDARG00000040072	807.1898949	-1.23085893	0.234461219	-5.249733557	1.52E-07	2.05E-06
ENSDARG00000010035	76.72335497	-1.810137222	0.465823164	-3.885889247	0.000101956	0.00068637
ENSDARG00000037924	162.9639946	-1.254127577	0.337166249	-3.71961186	0.000199529	0.001229789
ENSDARG00000037925	23.32863883	-2.228472395	0.822053021	-2.71086212	0.006710853	0.024889158
ENSDARG00000105131	122.8369077	-1.780446937	0.4017365	-4.431877449	9.34E-06	8.37E-05
ENSDARG00000102997	718.4621005	-1.085607972	0.236676454	-4.586886244	4.50E-06	4.36E-05
ENSDARG00000101886	169.4736433	-1.651485299	0.393392899	-4.19805569	2.69E-05	0.000212374
ENSDARG00000074060	140.8777988	-1.117645849	0.358891341	-3.114162206	0.00184468	0.00850263
ENSDARG00000006849	14.47121617	-2.513959947	1.029367842	-2.442236725	0.014596572	0.04694236
ENSDARG00000070140	61.41606456	-1.612601078	0.585539743	-2.754042056	0.00588642	0.022305542
ENSDARG00000037865	211.0532683	-1.1940118	0.317165009	-3.764639114	0.00016679	0.001048543
ENSDARG00000014945	316.1307882	-1.023483536	0.307860911	-3.324499796	0.000885773	0.004537643
ENSDARG00000052818	44.93238048	-1.618224729	0.647314922	-2.499903329	0.01242272	0.041236469
ENSDARG00000087893	220.6951726	-1.685532859	0.312405806	-5.395331412	6.84E-08	9.75E-07
ENSDARG00000037872	81.93550466	-1.239014175	0.465591743	-2.66116011	0.007787192	0.028160414
ENSDARG00000037873	121.3592353	-0.97549842	0.374889714	-2.602094386	0.009265635	0.032520869
ENSDARG00000052741	16.41692181	-3.017348362	1.069866182	-2.820304458	0.00479781	0.018889103
ENSDARG00000104538	69.44385553	-1.406816559	0.482414833	-2.916196732	0.00354327	0.014662782
ENSDARG00000102195	323.423184	-1.001444445	0.289674613	-3.457135695	0.00054595	0.0029726
ENSDARG00000104225	150.0314792	-1.645674353	0.427148369	-3.852699607	0.000116823	0.000771038
ENSDARG00000004470	2332.796455	-0.876370159	0.205167591	-4.271484381	1.94E-05	0.000159539
ENSDARG00000020960	201.8590923	-1.444305899	0.315388333	-4.579452524	4.66E-06	4.50E-05
ENSDARG00000031325	135.4604307	-0.9275364	0.373424142	-2.483868328	0.012996385	0.042719579
ENSDARG00000029931	280.6739902	-1.13655307	0.298905176	-3.802386718	0.000143309	0.000919601
ENSDARG00000042338	224.1282144	-1.43951584	0.323071062	-4.455725102	8.36E-06	7.58E-05
ENSDARG00000007092	272.5861196	-0.861214662	0.302880246	-2.84341641	0.004463272	0.01776147
ENSDARG00000020265	138.8614407	-1.705724972	0.372832935	-4.575038345	4.76E-06	4.58E-05
