"rpkm.high.pgc1.PGC1"	"PGC2"	"MeanPGC"	"Mix1"
"ERCC-00145"	2.56440272127535	2.67502072025581	2.61971172076558	1875000
"ERCC-00147"	0.0125177200845517	0.0238059869200385	0.0181618535022951	1831.05468
"ERCC-00148"	0.060485420732439	0.0448169389385341	0.0526511798354866	29296.875
"ERCC-00150"	0.0373425660395812	0.053635561378391	0.0454890637089861	7324.21876
"ERCC-00154"	0.0516676472391226	0.0700880173567615	0.0608778322979421	14648.4375
"ERCC-00156"	0	0	0	915.52734
"ERCC-00157"	0.0481729532007551	0.0304174631696665	0.0392952081852108	14648.4375
"ERCC-00158"	0.0374068967278375	0.00646725447973783	0.0219370756037877	915.52734
"ERCC-00160"	0.212565375917616	0.214542245513564	0.21355381071559	14648.4375
"ERCC-00162"	0.632527815553518	0.622278484099134	0.627403149826326	117187.5
"ERCC-00163"	0.102193468019922	0.0693135641263001	0.085753516073111	29296.875
"ERCC-00164"	0	0.00649889466799487	0.00324944733399743	915.52734
"ERCC-00165"	0.496854436589978	0.502710370579805	0.499782403584891	117187.5
"ERCC-00168"	0.033347988662751	0.034593074743181	0.033970531702966	915.52734
"ERCC-00170"	0.0876240405918618	0.125522476487476	0.106573258539669	29296.875
"ERCC-00171"	27.4116504670546	30.8682568575667	29.1399536623107	7500000
