"PGC"	"Soma"	"PGC1"	"PGC2"	"Soma1"	"Soma2"
"ERCC-00002"	97.8140965048546	133.511326600357	86.8513633781225	93.2762320283467	62.9010886277101	165.25027296379
"ERCC-00003"	6.37938313074518	9.71181835047568	8.58298340464094	7.18507968859345	15.4821887000723	13.638969753889
"ERCC-00004"	149.376699995865	28.3984644762884	153.051327240869	144.521003041799	36.5432896214917	26.3675019277924
"ERCC-00009"	11.2521857332618	8.68587865070005	11.8252510041833	12.6650027791458	4.79656188781205	10.556957905456
"ERCC-00012"	0	0	0	0	0	0
"ERCC-00013"	0.0223117886834429	0.0107520351882286	0.00264142484457434	0.00822013657263707	0.0144707453671595	0
"ERCC-00014"	0.00460601054068009	0.0071028263113653	0	0	0.0014936589494973	0.00488330127124565
"ERCC-00016"	0	0	0.00505751486828451	0	0	0
"ERCC-00017"	0	0	0	0	0	0
"ERCC-00019"	0.368583357981762	0.0782427604132211	0.215415578939509	0.460668026393665	0.0257207761857276	0.0296789459249308
"ERCC-00022"	2.58056187089727	3.76194669682455	2.16269033266395	2.52939403501672	1.95910641450998	4.16113839177053
"ERCC-00024"	0	0	0	0	0.00181784239065064	0
"ERCC-00025"	0.0889040112100545	0.0566396076314708	0.137004374686688	0.129906190409699	0.0312734530435704	0.0527195719488992
"ERCC-00028"	0.00797695807797429	0	0.0151098851286093	0.00783701516305694	0.000862268602998886	0
"ERCC-00031"	0.010561174725379	0.0152682678947077	0.00937729030938516	0	0.00342482784319417	0.00839773338121945
"ERCC-00033"	0	0	0.00422209945482901	0.00328480234950087	0.00144564320680822	0
"ERCC-00034"	0.0678184954028628	0.0477436789202126	0.0733066679141926	0.065180278220714	0.0277296782338307	0.0797166584853147
"ERCC-00035"	0.460004582496517	0.416699405503723	0.498626209244107	0.619124197881498	0.197459510086745	0.435545097586839
"ERCC-00039"	0.0203017176308805	0.0375681921387619	0.0374939548208227	0.0239346679304171	0.019750611920042	0.0258287042914263
"ERCC-00040"	0	0.00233538828819588	0	0.00892724509501445	0	0
"ERCC-00041"	0	0	0.00190220256186815	0.00197322351476255	0	0.00425874357746334
"ERCC-00042"	3.51277266315435	2.01437855258205	4.19552251500558	3.62933091499133	3.77839695928557	2.9660088334656
"ERCC-00043"	7.2840102045341	14.0174251218041	10.0955412481909	10.3361266845549	17.0470755677573	14.6151836849037
"ERCC-00044"	0.119562364732729	0.159323583010623	0.0812352388186045	0.107250501625918	0.0606870013321707	0.0950701875086669
"ERCC-00046"	130.97874814985	228.505020160328	134.643079191179	145.684294173612	330.262568831176	210.712499340236
"ERCC-00048"	0.00302888529170395	0.00175154121614691	0	0	0.000982221291722521	0
"ERCC-00051"	1.35977051810919	0.849740404306484	0.942506657680086	0.880734632877484	1.37975564342639	0.418538127934061
"ERCC-00053"	0.308395593337129	0.212308026199626	0.388049322621102	0.348433081284201	0.276212532945	0.280252803162104
"ERCC-00054"	0.0438635651002966	0.0824375019103306	0.101261045866456	0.0969616109589891	0.170691419805327	0.0871954433195961
"ERCC-00057"	0	0	0	0	0	0
"ERCC-00058"	0.00793482625713992	0.00305902972960869	0.00375751984932406	0.00779562247733657	0.002573143102259	0
"ERCC-00059"	0.331942750749482	0.350815356114819	0.191068095042962	0.257240692947388	0.161465954972991	0.318554019594258
"ERCC-00060"	4.13642644502223	2.77074396036786	3.28914464087829	3.09445967262903	2.25426359632959	2.44854141256007
"ERCC-00061"	0	0	0	0	0	0
"ERCC-00062"	0.287835887114654	0.0713354968030742	0.342151015644413	0.326791274993256	0.0571474206093103	0.0840758409486311
"ERCC-00067"	0	0.0188861835480189	0.0231986008088703	0.0378160320173904	0.0181558420134548	0.0148394729624654
"ERCC-00069"	0.0396392375906374	0.0122253571603711	0.00938553770631514	0.0155775323381783	0.00342784000488563	0.0210127981262703
"ERCC-00071"	0.75818377245793	0.774039348154942	0.528581203476876	0.61038995434697	0.31416393913936	0.86337070731154
"ERCC-00073"	0.00996568560321829	0.0172888446409725	0.0141576867291281	0.022029420731976	0.00807929951400283	0.00792422934314074
"ERCC-00074"	929.341849375257	1088.98790806382	959.624788241039	942.403362907046	1212.98365449942	981.906149994748
"ERCC-00075"	0	0	0	0	0	0
"ERCC-00076"	2.33539322504017	2.41684313951875	2.38692644085784	2.05187583523416	1.25817345674652	3.24508300334337
"ERCC-00077"	0.143078771874777	0.229124688318822	0.0547249044722068	0.113536245310953	0.203438537432814	0.175029681095746
"ERCC-00078"	0.266273484818316	0.255467489845911	0.251470029311862	0.227415500426471	0.176621786354455	0.409019511563624
"ERCC-00079"	0.317261624591897	0.477550641142763	0.318152239664506	0.374722499081414	0.252668801353913	0.727134175160806
"ERCC-00081"	0	0.00650759882553459	0	0.00414598648607413	0.00182465078911749	0
"ERCC-00083"	0.00293997476455021	0	0.0083533122286343	0	0	0
"ERCC-00084"	0.0967293105632295	0.132849291114435	0.139565022974893	0.135866563176437	0.0960640091510026	0.0817216046242814
"ERCC-00085"	0.0818803872221768	0.0144107846029907	0.0429888763804183	0.0419707447121059	0.0184713463770377	0.033969030525454
"ERCC-00086"	0	0	0	0.00217054586623881	0	0.00468461793520967
"ERCC-00092"	1.53707844340563	0.332356504074567	1.59120936651304	1.46546605602429	0.115293904221266	0.297581601934138
"ERCC-00095"	3.35067964615001	0.493578263320202	3.30177091589126	2.80462855499418	0.742461262939213	0.431056782752307
"ERCC-00096"	65.9938233483558	46.3874694753295	53.5187319842055	55.6589135380077	18.9952476559082	53.9685759754337
"ERCC-00097"	0	0	0.0122424738494229	0	0	0
"ERCC-00098"	0	0	0	0	0	0
"ERCC-00099"	0.0289337072013438	0.0205929349501361	0.0521710755968371	0.0442791356712717	0.0368092885857969	0.0991056949848802
"ERCC-00104"	0	0	0	0.00218986823300058	0	0
"ERCC-00108"	14.8204127880976	2.68959950911239	13.9917979829625	14.5770207403125	1.32139710434911	3.27749072018945
"ERCC-00109"	0.0112113963036206	0.00324165837018234	0.00796369878513456	0.00413051638724549	0	0
"ERCC-00111"	2.03131552182782	2.10111641999408	2.11924119501877	2.06027165472466	1.35175784305339	3.05254229037757
"ERCC-00112"	0.875475830371104	1.07218992022785	0.84356320617325	0.896496584893705	0.769369787575441	1.14830872380148
"ERCC-00113"	27.0776575773015	26.3897542058541	23.7209007356528	23.5839110706273	18.8574140085914	33.596072137923
"ERCC-00116"	0.590065191292714	0.0689426328613768	0.632456078305112	0.689429033555712	0.0474702468983967	0.0839984230472051
"ERCC-00117"	0	0.00152951486480435	0	0	0.000857714367419666	0
